run_id,best_fitness,tiempo
1,37501.17831661033,6.752294972000527
2,37450.13678910338,7.400512352000078
3,34012.31214718392,11.160035597000387
4,40316.48126320463,6.877039147999312
5,37620.93668575435,7.362891462000334
6,35868.926929453104,7.646239255000182
7,39347.420792588564,11.490100336000978
8,37029.75378525861,7.734109878998424
9,35670.55037580671,6.834775242001342
10,41839.928168105886,14.724115184999391
11,38875.547152508225,6.808729746000608
12,39443.32473609129,7.299086213000919
13,36846.79380901977,6.806897962000221
14,39871.33484840567,9.308896702999846
15,36932.83436394903,14.031664832000388
16,37921.94525969997,6.533045707999918
17,39608.85207431849,7.526169149999987
18,36301.464500285954,10.626771448
19,35653.64788851135,10.781365742001071
20,40915.75320573239,12.77188261899937
21,41927.67661171238,10.12924453999949
22,42760.09856718256,4.944964005999282
23,39837.96139280514,6.701782206000644
24,37495.93800624756,7.648995452000236
25,34396.142434591115,13.09114669399969
26,36706.51436613013,6.25145805899956
27,41394.818308011236,6.912306099000489
28,38060.41930100918,7.886543038001037
29,38483.07096117768,6.883653327000502
30,38620.43977720495,5.92243038900051
31,41959.40634467793,6.395353431000331
32,34645.09228203378,7.932278325999505
33,34028.046639671855,8.04664819700156
34,41879.57006763838,13.89704739699846
35,40307.93135365784,8.782474146999448
