run_id,best_fitness,tiempo
1,27703.779268185728,4.1828149010016205
2,27927.20407226411,4.172343817001092
3,27419.99894060085,4.801318589001312
4,27299.497141480202,3.737554541999998
5,27343.561261631203,4.540137545998732
6,27389.38469816321,4.046697869000127
7,27742.682220492254,5.536710910000693
8,27739.507766846444,3.0049321500009682
9,27820.097040538632,4.187100957000439
10,27696.90682396561,4.398054227000102
11,27684.588893658187,8.674632460000794
12,27857.62365547063,3.4418467940013215
13,27709.39876144024,3.1122968630006653
14,27862.693097712265,5.193953732999944
15,27547.593650329316,5.970080932998826
16,27651.22540019278,3.8863962199993694
17,27703.156710061827,4.456002558001273
18,27254.329078125782,6.866253506999783
19,27404.174569996234,7.442454988000463
20,27784.3856264492,4.825497820000237
21,27844.56278220725,4.998608805999538
22,28070.05355378202,6.716800902000614
23,26891.055639046153,7.539260904999537
24,27752.250431673474,3.9411503440005617
25,27285.771110275342,6.910388747999605
26,27607.464887400452,3.6139615600004618
27,27618.477667547093,4.592044791999797
28,27943.12574305768,5.464115838998623
29,27777.431098896646,3.843947573999685
30,27684.939066333747,9.616427816001305
31,27553.65810005267,4.080794503999641
32,27948.53733239755,4.3368872690007265
33,27730.802601371688,5.513333633000002
34,27002.348511150667,7.46769162199962
35,27679.76839612474,8.353933301001234
