run_id,best_fitness,execution_time
1,27058.082654721886,82.49585589599974
2,27465.050309690363,83.37271862899979
3,27429.891772655683,81.4914653879996
4,27576.442798509594,81.61229253400052
5,27353.546453051324,88.64454351599943
6,27820.896960750408,82.53489104100026
7,27308.712037780326,84.14397195999936
8,27098.303268695006,86.5086079319999
9,27719.930183770208,81.08727942000041
10,27505.20845654165,86.60688658199979
11,27186.551801727983,82.3762464880001
12,27425.662453113182,81.10129526900073
13,27809.918419771686,81.48829769199983
14,27611.93397315404,81.3989396979996
15,27339.687566224893,84.15791052900022
16,27258.888338916666,84.387201259
17,27528.364106502402,81.9704940040001
18,27728.29817499855,81.54266143099994
19,27668.63730329737,82.45109097899967
20,27111.782733955224,83.9614360860005
21,27333.060131248236,81.76719961299932
22,27382.35358273114,79.89367835700068
23,27677.048198976478,79.02059569500125
24,27492.555556569947,80.5282827029987
25,27704.971831824718,79.57687432800049
26,27184.43133116055,82.84712852400116
27,27590.434847827382,81.2044302079994
28,27571.1968375778,85.83597030800047
29,27357.101642394322,85.35802530299952
30,27717.93504467,79.35986514100114
31,27507.97894862516,80.83074359300008
32,27094.70891912472,80.30530085399914
33,27733.88440996607,81.03643180399922
34,27448.972011326427,82.76011307499903
35,27706.958872625157,80.70491485500133
