run_id,best_fitness,tiempo
1,29555.930773217133,7.358220886000709
2,31062.587156361406,6.398678345998633
3,31684.265348484023,8.286528811999233
4,30354.89545375815,13.113149172999329
5,33765.302975566396,9.99549400199976
6,34147.19475797287,9.967280351000227
7,33770.40865640044,6.781186971998977
8,28343.085793099337,11.359347609999531
9,31158.97447572418,9.057473643000776
10,33052.441799704946,10.266652813999826
11,28562.05097787858,9.810859334998895
12,28308.510191430538,11.63361567299944
13,31004.123473625827,8.747299894999742
14,30199.27147621548,11.795441248001225
15,27163.63859876552,9.000083307999375
16,35044.791721190806,8.859313079001367
17,32480.59950753213,8.513670382999408
18,29961.575743620826,5.621400829000777
19,27942.757437033255,9.144685182000103
20,32674.80315784407,7.903316515999904
21,28176.20297699714,9.267987008001
22,32328.765577911607,8.686458569000024
23,28082.1676257385,11.547949193000022
24,30526.142458222654,8.795703350999247
25,29712.903669017604,10.231593839000197
26,27275.549982850378,11.404307564998817
27,29038.670645886174,11.269472403999316
28,29254.88827803531,16.250168605
29,33341.47839770062,10.393984276000992
30,32037.945343619976,7.662593680999635
31,31173.821626888923,8.278509501000372
32,35323.7961979404,6.238261383999998
33,33072.93260557716,7.1178022160002
34,29379.162063184554,7.057764598999711
35,28524.746144712633,6.535828935999234
