run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,60116.55249067111,805.9943286309118,0.5596366206056891,69660,3399,X-n561-k42,23.32316255569458
1,60601.48628461552,431.5940400737121,0.5618915641128724,68040,3318,X-n561-k42,35.84512400627136
2,60391.620835270034,199.56123260099196,0.5658423815264738,62720,3052,X-n561-k42,29.13482928276062
3,59608.859994710925,365.4094196403726,0.549696144540488,72280,3530,X-n561-k42,39.49218249320984
4,60260.421421073814,200.6346197811719,0.5262592031861888,74140,3623,X-n561-k42,46.430927991867065
5,59957.06528737759,1013.5235269091735,0.5652125325945185,68760,3354,X-n561-k42,30.55554461479187
6,59842.01589534196,765.9793373924961,0.5567824843660892,64760,3154,X-n561-k42,33.916922092437744
7,59527.917997477605,233.4958730823347,0.5521171798442416,73380,3585,X-n561-k42,39.95522141456604
8,59746.23954524843,581.0683644118874,0.536277212640878,69980,3415,X-n561-k42,28.247028589248657
9,60104.139677614054,159.04724408061108,0.551481422687591,69500,3391,X-n561-k42,35.58194398880005
10,59835.086412158045,403.4738970129169,0.5854514370281225,66640,3248,X-n561-k42,37.746333837509155
11,60023.68271145378,114.90883681380055,0.5634551008890947,70960,3464,X-n561-k42,31.126609086990356
12,60120.89150797399,976.045653512078,0.5498380063672282,66040,3218,X-n561-k42,32.290114641189575
13,60311.55615316177,674.8024642981999,0.569313574747417,62720,3052,X-n561-k42,35.643155336380005
14,59945.98008995888,487.87813187100033,0.5772043428968644,68520,3342,X-n561-k42,40.47866487503052
15,60436.625129619555,552.4281687599106,0.5926421309152977,67480,3290,X-n561-k42,25.63514494895935
16,60724.171028404664,703.6588836676073,0.5718152914389473,75800,3706,X-n561-k42,45.79018044471741
17,59680.21061854864,416.294898469603,0.5591356666142655,68020,3317,X-n561-k42,34.06446814537048
18,59592.86395401946,308.20126081991845,0.5571441132615198,70820,3457,X-n561-k42,36.54681372642517
19,60494.21661415176,917.6297222718044,0.5745727547930318,66760,3254,X-n561-k42,34.660670042037964
20,60244.90536311819,249.34991034111448,0.5474094748423207,65140,3173,X-n561-k42,33.98655343055725
21,60403.198327342085,533.8732861637194,0.553166041674176,64800,3156,X-n561-k42,30.87648916244507
22,59559.27849940094,988.3353530235547,0.5550878027646552,68160,3324,X-n561-k42,32.140870332717896
23,60409.26901296917,680.5496109956675,0.5306153755459745,68800,3356,X-n561-k42,31.278021097183228
24,60235.43666721807,199.75989525524093,0.575484762847183,64260,3129,X-n561-k42,30.339805364608765
25,59977.20450222756,195.75336892219516,0.5734698088796449,69660,3399,X-n561-k42,31.63204002380371
26,60656.243762583785,544.2544904924869,0.5810340597327861,73780,3605,X-n561-k42,36.443968296051025
27,59722.437865627704,430.22378118514774,0.5676432639178409,68960,3364,X-n561-k42,34.026299476623535
28,59959.07053468188,805.3681701339419,0.5697463652590228,69060,3369,X-n561-k42,33.05155348777771
29,59950.42293251141,653.9198932637754,0.5487350610439536,75640,3698,X-n561-k42,30.5378360748291
30,59821.735631754775,533.5814354594578,0.5617704152486761,68840,3358,X-n561-k42,28.1500563621521
31,60500.99453965616,452.1276680626836,0.5491982765846171,74560,3644,X-n561-k42,33.720738887786865
32,60505.45315053003,531.959799621512,0.5642816399388159,72440,3538,X-n561-k42,28.400940656661987
33,60163.01383779784,209.8247485820215,0.56726163625632,67740,3303,X-n561-k42,26.997839212417603
34,59553.015876698984,350.7037346863124,0.5480977625659066,70140,3423,X-n561-k42,22.19344186782837
