run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,79119.23398733744,1021.8568056636918,0.5398475014107874,49020,2391,X-n401-k29,28.049511909484863
1,77883.19594227943,1575.7023779850108,0.6008692954738922,46960,2288,X-n401-k29,22.747435808181763
2,79303.57854803231,1188.5655011542565,0.5592912410927048,52640,2572,X-n401-k29,24.228918313980103
3,78130.70085946949,1017.7440942886674,0.5168800348757245,52780,2579,X-n401-k29,30.211315155029297
4,78528.08356412477,545.2685860446473,0.5612995672214899,48320,2356,X-n401-k29,22.812416553497314
5,78068.05567474465,819.7993577032709,0.5436713668518255,45760,2228,X-n401-k29,18.574592351913452
6,78791.24039292913,882.2432175903649,0.5111358842710382,51740,2527,X-n401-k29,29.224392890930176
7,78214.62540820772,1124.4685680369864,0.5445047991283648,46840,2282,X-n401-k29,19.549078702926636
8,78826.92439683703,755.2191150853702,0.591498778998779,47080,2294,X-n401-k29,21.999414205551147
9,78470.77473676344,877.9262531453386,0.5441598162805418,50340,2457,X-n401-k29,18.753729820251465
10,78318.90495183416,1021.9381155505669,0.5371080060430243,53020,2591,X-n401-k29,24.52188515663147
11,78469.90690988039,422.3845473073475,0.5370722370722371,56780,2779,X-n401-k29,28.257701635360718
12,79236.20216244002,1035.259830670572,0.5588001025070092,50140,2447,X-n401-k29,28.294976472854614
13,79909.77817793534,623.8996669139649,0.560807387205294,49880,2434,X-n401-k29,21.38599991798401
14,79212.78430416109,1128.8589244907055,0.5228946115601145,52380,2559,X-n401-k29,28.510406255722046
15,77728.18148994366,1505.8715565880439,0.5804447915507285,54620,2671,X-n401-k29,26.29316997528076
16,78520.61019566358,618.748595782834,0.5746703608749527,53680,2624,X-n401-k29,25.123430490493774
17,78457.78396817869,753.0843374907266,0.5665808119893375,54660,2673,X-n401-k29,24.9198956489563
18,78575.7081978919,864.608951283341,0.5449151113971377,53800,2630,X-n401-k29,28.74738383293152
19,79313.55572617071,1143.9703555276983,0.5343036245458515,50340,2457,X-n401-k29,26.014846801757812
20,79280.34672537129,1323.1768071514105,0.5425516124614923,48280,2354,X-n401-k29,22.640724182128906
21,78017.5955584566,50.21353418515647,0.5314046029155602,44160,2148,X-n401-k29,20.94639801979065
22,78933.91203897526,571.4651897145503,0.5326234434468564,54080,2644,X-n401-k29,26.148831605911255
23,79292.38909277967,1105.4143516828399,0.5777487780867372,47400,2310,X-n401-k29,24.026850938796997
24,79090.93573502116,1706.745078821007,0.5632630712082983,49460,2413,X-n401-k29,21.874157190322876
25,78358.8361946672,1062.8922859144016,0.5428377946153827,54040,2642,X-n401-k29,23.8421413898468
26,78139.25786606263,1592.9072062698858,0.5417626219293775,53180,2599,X-n401-k29,25.378466606140137
27,78010.62154114938,89.88152350487556,0.578605236782722,47980,2339,X-n401-k29,23.51992654800415
28,78499.24210748327,1323.9991463040806,0.5638531034211902,50220,2451,X-n401-k29,22.013662099838257
29,78977.49732226525,861.3522456832492,0.5421760190428716,53420,2611,X-n401-k29,19.847212314605713
30,79331.63499471894,957.5930389370949,0.5648599883654492,49160,2398,X-n401-k29,22.73973035812378
31,78254.93552326054,837.6639342447712,0.5516237382850694,49960,2438,X-n401-k29,23.00790786743164
32,78963.57240415685,806.4633320054154,0.5571744198288439,47520,2316,X-n401-k29,19.335561990737915
33,78615.86012335587,752.5994338376815,0.5383948154766977,50880,2484,X-n401-k29,20.531885623931885
34,79721.52086030443,1004.0087266875919,0.5662968910941723,50300,2455,X-n401-k29,12.767894744873047
