run_id,best_fitness,execution_time
1,27760.46177232903,83.99327760099959
2,27344.601797097363,85.83611146700014
3,27802.28256144239,80.04243349099988
4,27658.024713300463,87.6160011650004
5,27459.65751687571,78.66420890499967
6,27578.504934212724,83.02161597199984
7,27408.68329031453,80.29740895799978
8,27579.63520862058,80.57949016900011
9,27458.258019345256,84.12710921400048
10,27665.093711161786,83.45708947799994
11,27392.490569513167,83.21714670399979
12,27478.088026369285,81.94685719500012
13,27470.614660083542,80.43424927900014
14,27569.37531499601,83.06949572699978
15,27206.80903095241,81.41416292099984
16,27046.21666823042,87.223895266
17,27449.96106637804,83.514549128
18,27507.180642422576,80.19972548900023
19,27540.505574084633,82.27876340300008
20,27497.415284054852,84.91988920099993
21,27129.161322940297,83.9457117359998
22,27231.70664011305,86.11243630199988
23,27252.308463734935,86.94587585000045
24,27385.728285569094,83.38544419200025
25,27122.15153633942,87.95857332700052
26,27475.59497049906,84.93917823500033
27,27697.06842434258,81.67429521299982
28,27268.85397129263,85.09253073699983
29,27125.661975776646,82.6393551860001
30,27138.74454174649,83.39121356099986
31,27301.227484163115,83.84841727100047
32,27325.15201218312,82.11762559399995
33,27341.14825774349,86.82566949000011
34,27416.149082828422,82.77288664700063
35,27192.383747180156,85.92938904199946
