run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,22117.405543614386,558.1591423885703,0.9103307628576891,1350,26,X-n214-k11,8.626578569412231
1,21418.980470229977,146.23944672559497,0.9469105166608726,6600,131,X-n214-k11,54.01524043083191
2,20773.043758611144,383.5653971622338,0.6958567913006289,10000,199,X-n214-k11,92.71659994125366
3,21455.537216567736,104.96762740172437,0.9426250939634605,9750,194,X-n214-k11,93.91865539550781
4,21342.16200749857,220.55077916384084,0.9436464493183755,10000,199,X-n214-k11,92.9499626159668
5,21575.631023653346,443.70836109445594,0.8466234953047205,9250,184,X-n214-k11,82.57100892066956
6,21386.849930140612,380.32431679260714,0.9444210522240194,6000,119,X-n214-k11,54.87977910041809
7,21424.425567247014,207.3488110558039,0.95509958590005,6250,124,X-n214-k11,57.75389099121094
8,21662.0337524814,170.38098253047968,0.9428101051460217,3200,63,X-n214-k11,24.844237565994263
9,21218.09567470702,77.80979293101733,0.9567146251446612,5950,118,X-n214-k11,54.757519483566284
10,21200.5513944777,583.1871922417773,0.9526601384078021,10000,199,X-n214-k11,99.06328105926514
11,21547.939395257563,237.63656137676125,0.9542826458307735,8550,170,X-n214-k11,58.31010389328003
12,22362.915696385124,334.1894860915058,0.9251227116768269,850,16,X-n214-k11,9.350555658340454
13,21322.66282511802,65.33823408119326,0.9542526146759173,7250,144,X-n214-k11,70.4850902557373
14,20882.35117514292,207.1939303300201,0.9321147331710712,10000,199,X-n214-k11,91.8335919380188
15,21516.706149621834,72.64249319523229,0.9475603288252453,10000,199,X-n214-k11,93.27913618087769
16,20857.214650599348,464.40564924272104,0.9442283382596249,9850,196,X-n214-k11,96.9959192276001
17,22374.3814900225,398.23779918615304,0.954260240814356,800,15,X-n214-k11,5.359785795211792
18,21762.39850528128,469.35432707874105,0.9058969208057972,4300,85,X-n214-k11,40.54396295547485
19,21058.19822624259,216.0696842020331,0.9390121540753302,9450,188,X-n214-k11,72.85613584518433
20,21139.63537216169,183.52161461657042,0.9574376179210972,5550,110,X-n214-k11,50.37104773521423
21,21325.49123090696,555.047908096744,0.8814053572078465,5300,105,X-n214-k11,49.81706213951111
22,21608.58960386871,348.75940089820637,0.9441730124734765,5900,117,X-n214-k11,48.10067629814148
23,20423.182471920412,742.7437061526499,0.7821181947691785,10000,199,X-n214-k11,70.19455885887146
24,21341.710439982264,262.6666642836388,0.8190114272372241,10000,199,X-n214-k11,70.9878933429718
25,22467.015182930627,204.09856437279453,0.9493770455153507,600,11,X-n214-k11,6.67588996887207
26,21828.823666490516,214.15737204960885,0.9550318955093872,10000,199,X-n214-k11,72.33889555931091
27,21045.253357534293,158.46824503030228,0.8192667103148622,5400,107,X-n214-k11,42.07722306251526
28,21484.372639909878,609.2163142179368,0.9477620584352474,4550,90,X-n214-k11,42.02494025230408
29,21205.83882171312,40.59345306146251,0.955009015100293,10000,199,X-n214-k11,61.08802819252014
30,21117.628511451116,404.8496910848715,0.8572382751516159,6800,135,X-n214-k11,49.13943362236023
31,21376.209989070325,577.6368276018893,0.9542340079366648,10000,199,X-n214-k11,63.43544840812683
32,21177.991768258977,424.8644693671455,0.9460630164015292,10000,199,X-n214-k11,61.29951477050781
33,21158.465512237846,216.66750885820912,0.9542826458307735,7450,148,X-n214-k11,38.48552584648132
34,20834.113167495536,206.89594193995248,0.8307607584208028,10000,199,X-n214-k11,49.9219491481781
