run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,87123.86976276645,645.2806370819947,0.9494940163989698,17400,173,X-n298-k31,78.11013865470886
1,85999.74527952382,1651.3120156057787,0.6338102808691044,15400,153,X-n298-k31,78.21187329292297
2,87301.2546842771,833.7109696517465,0.9534337997250196,9900,98,X-n298-k31,51.58952593803406
3,87099.25199378913,209.7316962364631,0.950057548305337,22100,220,X-n298-k31,98.04101800918579
4,87226.70464386564,486.41247209326906,0.9428027911969941,15400,153,X-n298-k31,42.996511697769165
5,87884.72527340481,647.9006713239303,0.945619891423255,13100,130,X-n298-k31,58.709545612335205
6,86978.84181269049,144.6350312709419,0.9403036430069877,12200,121,X-n298-k31,55.284239768981934
7,87297.57318228543,1103.578791843085,0.9433689174705252,11700,116,X-n298-k31,52.19221639633179
8,87762.90953183727,378.24217969931897,0.9512600149626446,9600,95,X-n298-k31,50.09201765060425
9,88146.69838620548,1944.3699566766134,0.950144348212303,9400,93,X-n298-k31,25.78421664237976
10,86877.07328128723,1403.8557054565943,0.9467509220335183,11100,110,X-n298-k31,49.311747550964355
11,87241.51242916481,572.5542494315066,0.9445034188034187,22000,219,X-n298-k31,97.34731578826904
12,87336.59050435106,261.57124933878873,0.9462312647340649,10400,103,X-n298-k31,46.97257900238037
13,86552.30582123202,1607.5146973204717,0.9434322842681243,16100,160,X-n298-k31,42.85623073577881
14,87525.45965558961,927.9578033543876,0.9439874100469535,8600,85,X-n298-k31,38.03920888900757
15,86615.18893176678,910.0181731783474,0.9517976195132419,14500,144,X-n298-k31,64.38130688667297
16,90421.14017716312,2009.7457580736843,0.950656006773278,1200,11,X-n298-k31,6.364175796508789
17,87255.88141814289,60.47401472682584,0.9422731525712815,10700,106,X-n298-k31,55.5356867313385
18,87596.26289373894,141.28736977000543,0.9348364441191336,12800,127,X-n298-k31,41.36477088928223
19,86961.54857958348,1125.9520506540039,0.9484271762208069,10600,105,X-n298-k31,45.33767247200012
20,86884.16838482449,1164.4141297263307,0.9366156181434045,13000,129,X-n298-k31,37.232489347457886
21,86839.09118727065,898.3926076427243,0.9528839764133882,9900,98,X-n298-k31,32.91723108291626
22,86711.14498017707,1440.68299027952,0.8762871564907723,25000,249,X-n298-k31,73.91816449165344
23,89135.5183829498,621.7326482629968,0.9405716494372601,1200,11,X-n298-k31,5.50253701210022
24,88018.55037090322,369.6570074948185,0.9512670705761063,14000,139,X-n298-k31,46.57400178909302
25,87592.88832838474,772.7441465064321,0.94723129534781,10100,100,X-n298-k31,34.46571683883667
26,87594.44514331305,1413.8802640536662,0.9533292124082257,10800,107,X-n298-k31,47.53362703323364
27,87385.8387941247,741.9589560973101,0.9528167836548292,20200,201,X-n298-k31,64.14366245269775
28,88081.32247016997,1291.9183322643062,0.9434322842681243,10000,99,X-n298-k31,44.0890166759491
29,84276.44579356532,1638.1892052634407,0.5997567240331979,14200,141,X-n298-k31,53.10173439979553
30,87811.67371536192,341.7379599046438,0.9494617065538732,16100,160,X-n298-k31,54.880834102630615
31,86250.24631702599,934.5167049669063,0.9456093423376966,15400,153,X-n298-k31,44.38643455505371
32,86957.4526959281,1605.4272249675603,0.9433453490163425,10900,108,X-n298-k31,36.64550042152405
33,86137.16317032433,496.6775410396861,0.9422441393904416,17200,171,X-n298-k31,46.086902379989624
34,87088.30828725919,1289.5592286339647,0.9404479251595381,9400,93,X-n298-k31,24.154417991638184
