run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,373989.32775199326,1022.6640956449514,0.8954110024042802,14900,148,X-n837-k142,318.5724256038666
1,372197.7506178618,908.8102423515295,0.9027004776797402,16100,160,X-n837-k142,332.1554880142212
2,372579.3176852877,39.526630778955465,0.8964970874815924,14900,148,X-n837-k142,229.43227124214172
3,371391.59737230063,1295.232737155599,0.8977660649334327,12300,122,X-n837-k142,255.4704704284668
4,371078.4475217297,1808.893891335406,0.9016439114950483,11600,115,X-n837-k142,232.02749109268188
5,369516.5511805233,1650.366443430027,0.9008327051243623,12700,126,X-n837-k142,259.7704679965973
6,373061.2303997018,703.1990362747882,0.9011074933520478,13700,136,X-n837-k142,233.0675766468048
7,371804.64256028546,1013.8443644087234,0.9030654240043678,27900,278,X-n837-k142,461.9631042480469
8,376881.67497912113,1506.4279939410283,0.9000351028457514,5000,49,X-n837-k142,98.7393479347229
9,372858.5344333663,70.13348301543424,0.8993977461288697,23000,229,X-n837-k142,448.2084639072418
10,377059.55224037956,923.5243696087645,0.9015093837469236,1200,11,X-n837-k142,25.57020401954651
11,369056.6204415445,470.2067619678601,0.8987493458949857,11700,116,X-n837-k142,242.12988805770874
12,377434.59567983396,2383.9265839707964,0.8996593315818565,1200,11,X-n837-k142,28.36378049850464
13,371366.87040495005,851.4848254125615,0.8977245605759615,15500,154,X-n837-k142,254.6186761856079
14,372881.08303307276,1450.7663706775209,0.9008891847787722,12000,119,X-n837-k142,220.66822576522827
15,371103.5589821173,1116.0069671916528,0.9013434910229545,14500,144,X-n837-k142,319.41851472854614
16,373823.8537068744,497.6181398237864,0.9007908740991925,13500,134,X-n837-k142,234.05565667152405
17,370897.77435639227,1836.4980252738435,0.8975993954921542,18800,187,X-n837-k142,332.83283019065857
18,377502.0945085104,2014.157913175863,0.9025233345392173,1200,11,X-n837-k142,27.992218255996704
19,372184.26460929844,779.3549452103373,0.9016459775619681,14000,139,X-n837-k142,267.09894919395447
20,370430.39007190143,980.0766556848147,0.9025530877531592,9100,90,X-n837-k142,140.8138394355774
21,370924.709839667,1068.8298062028139,0.9047266268486392,16000,159,X-n837-k142,240.75124645233154
22,372201.5445767173,2436.278222687923,0.899405199008906,16600,165,X-n837-k142,259.0513336658478
23,371258.90168100013,2232.785083225043,0.8983827231417797,14400,143,X-n837-k142,259.3631479740143
24,372295.1741305717,988.8050290216795,0.9042357806431122,13300,132,X-n837-k142,171.7632701396942
25,369167.45439992676,2172.9691027582385,0.9005406012201432,17700,176,X-n837-k142,284.5127236843109
26,371373.19597463263,2953.9338881770277,0.9013997128975455,13900,138,X-n837-k142,226.8610405921936
27,368227.3378037002,508.73339232560517,0.9000156146321193,12100,120,X-n837-k142,197.32988142967224
28,372134.92140415654,1723.2722411504594,0.9018867937189926,19000,189,X-n837-k142,273.2552092075348
29,370355.97511571617,627.638247874687,0.9020399009513557,19500,194,X-n837-k142,285.4288561344147
30,371288.0415905055,1910.8663862037342,0.9004565364444684,13700,136,X-n837-k142,241.05391025543213
31,376462.22784507595,2079.1800752948525,0.8969842358105048,1200,11,X-n837-k142,27.362820625305176
32,374661.2279334227,3308.245772721306,0.8982071534926584,1200,11,X-n837-k142,24.883684635162354
33,377723.69992926583,2138.468141590913,0.9041169111870758,1200,11,X-n837-k142,27.34568500518799
34,369004.6311295133,2367.6971693297382,0.900628847048374,22100,220,X-n837-k142,227.31272959709167
