run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,105790.1179310225,722.0052319002341,0.9699611819714108,8900,88,X-n439-k37,104.90201258659363
1,105535.75284697156,674.007899901543,0.9670135103020939,14900,148,X-n439-k37,174.79860472679138
2,104027.26041420746,982.8449206859698,0.9670028942014784,12500,124,X-n439-k37,149.5576229095459
3,106623.2472242266,467.89420960676483,0.9725984611035888,19300,192,X-n439-k37,184.8369755744934
4,104196.19647605547,434.1206619974219,0.9550268219465203,23300,232,X-n439-k37,176.2475504875183
5,105460.89257455549,154.0800557919514,0.969993664046657,9300,92,X-n439-k37,110.03842997550964
6,105707.8773712757,1286.1358731997768,0.9740621321988717,23600,235,X-n439-k37,211.60595154762268
7,105214.42652257536,1291.8607227016919,0.9655153342329176,9800,97,X-n439-k37,115.90964388847351
8,105795.07973723272,514.8774325429463,0.9643777490967452,13600,135,X-n439-k37,184.7171664237976
9,106745.28999280815,1459.3513666108252,0.9685116757393795,10900,108,X-n439-k37,143.1917495727539
10,106743.60816491784,832.0537649162168,0.9677471140612566,11700,116,X-n439-k37,139.19402718544006
11,104965.99155349967,278.50434425873925,0.9651407935380854,9700,96,X-n439-k37,113.97333240509033
12,105875.23117786362,1821.5604553417818,0.9673692720199331,11000,109,X-n439-k37,130.23483180999756
13,108316.33273342089,653.0379730098659,0.96325579660567,1200,11,X-n439-k37,14.519901990890503
14,104532.98902301794,1394.210690391254,0.9666405936305204,16800,167,X-n439-k37,227.19510507583618
15,105296.54881114465,424.954510136338,0.966625929334861,16900,168,X-n439-k37,228.47139596939087
16,107635.38057804981,963.3802087795128,0.9677047470327521,1200,11,X-n439-k37,8.609017848968506
17,103244.21077081544,947.4491198260351,0.6548451961532082,24600,245,X-n439-k37,182.41949820518494
18,106943.09934944347,1430.8916685283757,0.9602216155804112,9500,94,X-n439-k37,111.44305372238159
19,105356.28181336045,938.321103369463,0.9692470200150937,7700,76,X-n439-k37,90.66612339019775
20,104981.7789631191,74.33985082521824,0.9651309533857363,19200,191,X-n439-k37,194.9967691898346
21,105495.08076223564,819.6300159505105,0.9744430228301196,11100,110,X-n439-k37,130.13867664337158
22,106449.69115130058,1150.4944377500108,0.9666292147208178,12400,123,X-n439-k37,145.39727330207825
23,106124.67128549237,632.9120221017452,0.9688837843574934,11700,116,X-n439-k37,136.41075468063354
24,107907.73311117454,1454.5645482128634,0.9711116165478076,1200,11,X-n439-k37,16.165789127349854
25,104945.16754932929,262.7137627951687,0.9700017315772613,14600,145,X-n439-k37,166.50121903419495
26,105948.35739814541,911.6177478985729,0.9658915095828992,12700,126,X-n439-k37,133.68423867225647
27,104836.31736218919,1513.9432012610682,0.9751784298003493,17200,171,X-n439-k37,164.4370687007904
28,105561.43330889916,800.823744552273,0.9677389669605242,11200,111,X-n439-k37,116.4434072971344
29,104842.10432296798,151.3154320096038,0.9666291668414885,20200,201,X-n439-k37,140.36421132087708
30,103534.75784437494,801.1077877596318,0.9677609756078391,20700,206,X-n439-k37,141.43145608901978
31,104456.06409267028,55.077058789045566,0.644927536231884,30000,299,X-n439-k37,182.95532965660095
32,105217.24225751472,258.9851853159847,0.9696215607099258,15000,149,X-n439-k37,129.69501423835754
33,106209.34606902189,535.1394850078281,0.9670102622325766,14000,139,X-n439-k37,117.12861394882202
34,104709.33741361198,274.1934721724892,0.9636319719556515,10700,106,X-n439-k37,87.69464540481567
