run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,60054.83822202333,1494.111481819072,0.9635965087770914,10900,108,X-n303-k21,78.27840733528137
1,58959.69203438196,372.9395975391538,0.9646954986760812,12700,126,X-n303-k21,97.54710364341736
2,58232.79669111645,280.9164360507832,0.95361380798274,18400,183,X-n303-k21,132.21314430236816
3,58707.77959041315,913.5543924945953,0.9585658423843788,23300,232,X-n303-k21,157.53354859352112
4,59510.2851370503,1010.8762013514095,0.9619615673644658,13500,134,X-n303-k21,59.34869623184204
5,57452.01165330727,570.5293898618534,0.6353322528363047,29400,293,X-n303-k21,129.07167172431946
6,57933.799622896186,1359.653974649276,0.9602639495040061,14100,140,X-n303-k21,92.11581444740295
7,58635.15080324471,367.1772562851525,0.9669344962751606,10300,102,X-n303-k21,87.60816311836243
8,57656.451324781614,455.1491028816772,0.9625154593624329,19800,197,X-n303-k21,110.53777813911438
9,58904.46905442147,660.5141637076983,0.9602926376839939,11300,112,X-n303-k21,81.38697743415833
10,58235.34156705837,688.4236381041087,0.9541114087453718,9800,97,X-n303-k21,70.02294063568115
11,59716.800848808074,343.2709322980629,0.9608001583337745,14500,144,X-n303-k21,116.12942719459534
12,59172.98106604443,665.2809704848933,0.9625190473478278,10200,101,X-n303-k21,86.51402831077576
13,59206.66652567876,818.8842314980967,0.9579754354675702,11200,111,X-n303-k21,80.31174826622009
14,58883.06773783976,519.7184805822312,0.943726341009845,23800,237,X-n303-k21,172.0407407283783
15,62239.82658363606,1193.0592732105788,0.9619241624329459,1200,11,X-n303-k21,8.894636631011963
16,57007.84658220321,442.3910064810999,0.3474105584584577,30000,299,X-n303-k21,201.16672468185425
17,59586.43293724687,264.9402363478311,0.961913086913087,13000,129,X-n303-k21,101.4820384979248
18,59291.284937341756,455.4397310111589,0.9614147909967845,11200,111,X-n303-k21,74.877614736557
19,59026.95591327355,989.202037480175,0.9630373327368016,11700,116,X-n303-k21,83.82154536247253
20,59758.1116691051,396.733187059096,0.9608377733377734,8600,85,X-n303-k21,61.332199811935425
21,58583.48684823324,781.8148236711003,0.9568676083949396,10800,107,X-n303-k21,83.28301215171814
22,58994.24518858371,1735.2848881414895,0.965844326723043,7800,77,X-n303-k21,55.756064653396606
23,59651.6063634489,1184.1316200096387,0.9619490564348592,14200,141,X-n303-k21,93.31989121437073
24,58909.42744890237,737.5587814037042,0.9613666999372318,10500,104,X-n303-k21,83.25101327896118
25,58872.53867350061,1059.4657320031597,0.9602836457915594,11100,110,X-n303-k21,50.5085175037384
26,58444.97723811944,610.9742483762133,0.961377119807862,11300,112,X-n303-k21,81.95503783226013
27,57235.733890071664,1082.2111980654747,0.9574962025760064,22200,221,X-n303-k21,91.45662569999695
28,59116.134052004294,194.63578265588336,0.9586399949194021,8300,82,X-n303-k21,49.53797364234924
29,58216.156463633895,138.250041421269,0.9630765273311898,15200,151,X-n303-k21,78.5640172958374
30,58417.08138286625,64.51574189921779,0.9558147184934733,16000,159,X-n303-k21,65.50895857810974
31,57891.48443245521,500.3547613712518,0.9630800808995469,14300,142,X-n303-k21,76.23310017585754
32,58652.15269395378,1135.9322753970448,0.9586201890742491,20600,205,X-n303-k21,79.865074634552
33,62017.30504116573,954.328647811854,0.9569061152584933,2600,25,X-n303-k21,18.794365644454956
34,59195.45877238192,938.9366034556286,0.9663876263015391,18400,183,X-n303-k21,74.96076035499573
