run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,165761.32638343776,948.0681812645342,0.9680571524977907,12700,126,X-n801-k40,919.8913049697876
1,170582.7982051973,1211.7653851955668,0.9678423518262597,2400,23,X-n801-k40,191.89789986610413
2,165521.39498977968,568.0787609820113,0.9665764227429836,24000,239,X-n801-k40,1762.1445167064667
3,167721.5461302582,233.90891376753737,0.9682586976540916,12700,126,X-n801-k40,896.3096959590912
4,166178.65405734352,557.7466197853038,0.9686916716000317,27600,275,X-n801-k40,1544.1056416034698
5,166494.79764849137,628.6869968867227,0.967423667853636,22300,222,X-n801-k40,1611.2694909572601
6,165597.77473875272,681.5684283832118,0.9695355374818538,15900,158,X-n801-k40,1183.1938424110413
7,166879.33403499314,716.9325354352414,0.967634569193236,14300,142,X-n801-k40,981.9369254112244
8,166895.01406523315,1891.3363382077887,0.9695345049183187,10200,101,X-n801-k40,736.7376661300659
9,170665.20198985623,1598.4294873198953,0.968481029830723,1200,11,X-n801-k40,53.18044686317444
10,166873.71160341738,440.7109412151324,0.9665753825449906,16100,160,X-n801-k40,1051.7775876522064
11,166904.73955183322,957.8003457008771,0.969955273132392,17400,173,X-n801-k40,1271.9309873580933
12,166162.91369769163,513.9577030714013,0.9663652651949285,15300,152,X-n801-k40,1003.8558766841888
13,165772.2268306639,114.15719996733088,0.971202884374582,15000,149,X-n801-k40,983.7981734275818
14,164833.0214229657,796.2290707379436,0.9667878456295297,15900,158,X-n801-k40,1181.3563663959503
15,165927.8479402637,391.9675858189395,0.9678387010140647,12400,123,X-n801-k40,830.3772106170654
16,167465.76404095514,779.7997472767448,0.9705872046275164,10700,106,X-n801-k40,828.371444940567
17,165280.12393003592,800.456731580666,0.9650899574129842,30000,299,X-n801-k40,1759.0226905345917
18,168889.36964514724,863.8317882648323,0.9598616075057477,1200,11,X-n801-k40,97.83892393112183
19,166281.4669842463,522.3232188226765,0.9638125494301196,11900,118,X-n801-k40,634.8610398769379
20,166074.0535533115,1399.1547160562184,0.9705678293196859,21600,215,X-n801-k40,1223.479023218155
21,166552.51130565384,944.6663663252943,0.9665620547973489,15800,157,X-n801-k40,971.6642112731934
22,166618.47552091637,922.6776864778357,0.9676337876041705,14200,141,X-n801-k40,964.7686123847961
23,165834.53710321637,870.8526086818532,0.9680488614141852,10000,99,X-n801-k40,697.2947697639465
24,170156.4827669545,1902.5960664691147,0.9659306718205268,1700,16,X-n801-k40,110.97772932052612
25,166297.84527241337,745.4449841854763,0.9699516653000632,17900,178,X-n801-k40,934.9051525592804
26,166563.64572350078,946.6254059994193,0.9674215836121863,12700,126,X-n801-k40,808.0580167770386
27,167166.54644823688,131.55093446242861,0.9669898748669232,20900,208,X-n801-k40,1083.2947142124176
28,165586.04640091097,794.6976147390749,0.9661535851432784,13600,135,X-n801-k40,701.8328814506531
29,166115.8894051114,124.05629821171662,0.970164888983283,10300,102,X-n801-k40,584.4109797477722
30,165739.7271009256,2269.142191311243,0.9646647692672298,10000,99,X-n801-k40,472.7026090621948
31,164993.46965466414,579.4661631603826,0.9691098479143337,13600,135,X-n801-k40,679.5216679573059
32,166382.26798451677,846.2751084020408,0.9688971467228304,10900,108,X-n801-k40,659.0959663391113
33,169093.22353950862,1429.6208782065128,0.965088123559541,1200,11,X-n801-k40,53.36058211326599
34,166210.6937923915,999.8131998136588,0.9614328168209517,25200,251,X-n801-k40,903.7405672073364
